(223,189)
(207,195)
(223,196)
(223,198)
(207,198)
(207,191)
(210,193)
(215,195)
(191,191)
(183,196)
(239,193)
(191,192)
(193,192)
(236,192)
(200,198)
(235,194)
(191,195)
(233,189)
(219,194)
(207,196)
(223,190)
(196,198)
(183,197)
(223,190)
(191,195)
(207,197)
(217,189)
(212,189)
(219,194)
(207,196)
(223,193)
(220,195)
(195,190)
(239,193)
(203,189)
(212,189)
(209,189)
(207,197)
(236,198)
(191,197)
(215,191)
(203,190)
(215,196)
(186,193)
(191,197)
(223,195)
(188,198)
(188,197)
(217,189)
(242,193)
(203,195)
(241,193)
(194,191)
(183,189)
(224,193)
(239,193)
(201,198)
(226,191)
(201,198)
(202,198)
(183,198)
(243,189)
(215,198)
(202,189)
(188,197)
(220,195)
(236,195)
(191,192)
(188,189)
(185,193)
(220,193)
(183,190)
(228,198)
(231,195)
(211,193)
(194,191)
(187,193)
(241,189)
(231,191)
(227,190)
(215,191)
(207,194)
(207,196)
(232,194)
(183,193)
(183,190)
(203,197)
(183,195)
(207,192)
(236,198)
(215,198)
(231,192)
(231,196)
(193,195)
(183,195)
(236,196)
(188,195)
(220,196)
(188,190)
(239,194)
(239,189)
(208,193)
(231,193)
(216,194)
(210,189)
(233,194)
(232,190)
(209,193)
(209,193)
(231,191)
(236,191)
(220,198)
(236,195)
(203,189)
(192,193)
(188,196)
(201,198)
(239,195)
(240,193)
(220,192)
(212,189)
(215,191)
(223,190)
(215,192)
(196,189)
(203,190)
(203,192)
(231,194)
(183,194)
(227,190)
(235,194)
(185,193)
(211,193)
(228,189)
(223,191)
(184,193)
(239,197)
(195,190)
(231,195)
(216,190)
(218,194)
(203,194)
(191,198)
(203,193)
(195,197)
(202,189)
(236,196)
(228,189)
(203,194)
(220,193)
(215,196)
(202,189)
(207,194)
(243,193)
(207,191)
(210,189)
(191,189)
(188,196)
(203,197)
(208,193)
(240,189)
(207,190)
(217,189)
(236,192)
(231,194)
(224,194)
(239,196)
(183,192)
(203,195)
(225,195)
(223,198)
(192,194)
(188,189)
(223,192)
(203,196)
(191,194)
(185,193)
(236,197)
(223,198)
(220,198)
(220,191)
(240,193)
(207,190)
(207,192)
(188,192)
(231,197)
(187,193)
(239,191)
(186,193)
(239,189)
(211,189)
(183,191)
(233,194)
(208,193)
(223,197)
(215,194)
(234,189)
(236,191)
(203,190)
(236,193)
(226,196)
(224,193)
(203,192)
(242,189)
(203,192)
(234,194)
(239,192)
(236,194)
(239,192)
(183,189)
(227,190)
(228,189)
(223,197)
(194,196)
(188,194)
(191,196)
(191,194)
(207,197)
(216,190)
(223,192)
(225,195)
(219,190)
(225,192)
(242,193)
(220,198)
(183,196)
(218,189)
(192,194)
(187,193)
(188,191)
(211,189)
(217,194)
(203,196)
(236,191)
(233,189)
(236,193)
(183,193)
(188,193)
(240,193)
(223,196)
(220,196)
(239,195)
(204,189)
(220,192)
(208,189)
(203,194)
(215,197)
(199,197)
(243,193)
(236,198)
(207,189)
(236,197)
(215,196)
(215,193)
(191,191)
(223,194)
(226,196)
(208,189)
(225,192)
(203,197)
(207,192)
(223,193)
(191,191)
(183,195)
(242,189)
(231,193)
(231,193)
(239,189)
(218,189)
(183,190)
(207,193)
(220,196)
(188,192)
(239,198)
(191,190)
(215,198)
(220,193)
(191,190)
(244,189)
(243,189)
(191,189)
(227,197)
(236,193)
(243,193)
(209,189)
(239,190)
(207,195)
(199,196)
(239,190)
(236,192)
(240,189)
(220,197)
(220,192)
(188,198)
(232,194)
(228,198)
(216,194)
(191,193)
(191,190)
(220,194)
(188,194)
(207,191)
(191,195)
(203,191)
(207,189)
(183,198)
(188,196)
(188,189)
(191,194)
(196,189)
(207,198)
(207,198)
(215,195)
(192,194)
(218,189)
(244,189)
(226,196)
(200,198)
(188,194)
(225,192)
(220,195)
(211,193)
(199,196)
(235,190)
(218,194)
(188,197)
(207,193)
(236,195)
(231,198)
(215,193)
(196,189)
(210,189)
(242,189)
(191,196)
